"ParticipantID";"Phase";"PositionPointerX";"PositionPointerY";"PositionPointerZ";"OrientationPointerX";"OrientationPointerY";"OrientationPointerZ";"OrientationPointerW";"ElapsedTime";"Timestamp";"Direction1";"Direction2";"Direction3";"Method";"Model";"Gender";"StereoTest";"Sample";"TargetDistance";"Angle";"Precision";"TargetDistanceScaled"
"11";6;239.082;110.45;160.558;0.47209;-0.0938654;0.84974;0.215087;97570;"2019-09-12T14:43:26";-0.761928932;0.362603153;-0.536640714;"HMD";"L";"W";9;1;156.991927920576;48.7203241789513;"uncertain";-1.99268180108724
"11";6;194.398;960.215;109.847;0.571239;0.817415;-0.0734546;-0.0111208;110501;"2019-09-12T14:43:39";0.102100828;0.107380458;0.988961505;"HMD";"L";"W";9;1;841.219578646372;49.1465855197046;"uncertain";0.491766336085668
"11";6;224.691;118.719;129.557;0.781322;0.477391;0.39816;0.0556947;118252;"2019-09-12T14:43:46";-0.675358956;-0.293125153;0.676733274;"HMD";"L";"W";9;1;133.743254575247;27.0910111797938;"hit";-2.07709832988913
"11";6;205.867;156.588;149.707;-0.521072;-0.436018;-0.617115;0.396915;130066;"2019-09-12T14:43:58";-0.296998476;-0.951788924;-0.076744702;"HMD";"L";"W";9;1;125.477876906965;51.4454481383405;"uncertain";-2.10711012805193
"12";5;675.819;158.605;624.542;-0.13124;-0.700214;-0.251966;0.654973;36004;"2019-10-10T14:52:27";0.851106425;-0.524777513;0.015047086;"HMD";"L";"M";7;0;782.278130434233;76.6440083854817;"miss";0.277748426903559
"12";5;140.322;58.898;895.269;0.218278;-0.644949;0.113855;0.723486;75116;"2019-10-10T14:53:06";0.883519546;0.462703745;-0.072790495;"HMD";"L";"M";7;0;796.438647445589;64.4895741028872;"miss";0.32916562711894
"12";5;194.595;935.312;111.482;-0.657557;-0.430358;-0.541405;0.298816;105919;"2019-10-10T14:53:36";-0.454813768;-0.858973401;0.235178936;"HMD";"L";"M";7;0;816.541427450916;44.9823822902875;"uncertain";0.402159336571127
"12";6;764.712;146.237;148.645;-0.0662963;-0.512636;-0.351563;0.780521;18646;"2019-10-10T14:53:59";0.753631341;-0.463938804;-0.465618501;"HMD";"L";"M";7;1;672.824720067195;45.0928551902993;"uncertain";-0.1196797115313
"12";6;670.303;157.796;638.375;-0.149118;-0.753022;-0.243673;0.592744;25542;"2019-10-10T14:54:05";0.820026245;-0.543759701;0.178556278;"HMD";"L";"M";7;1;787.487459564531;79.3355835467158;"miss";0.296663634495595
"12";6;901.102;931.507;128.661;0.0522613;-0.582893;-0.246493;0.772493;41492;"2019-10-10T14:54:21";0.926325867;-0.206615168;-0.315008827;"HMD";"L";"M";7;1;1141.39789695195;58.7035158739164;"uncertain";1.58172150370117
